port,latitude,longitude,mmsis_in_port,port_cluster
13_8,57.057889092181114,9.896819481777847,219018851,85
13_8,57.057889092181114,9.896819481777847,219000692,85
13_8,57.057889092181114,9.896819481777847,219014399,85
13_8,57.057889092181114,9.896819481777847,219024915,85
22_3,55.36819197996618,13.155157341605356,218795000,48
22_3,55.36819197996618,13.155157341605356,265866000,48
22_3,55.36819197996618,13.155157341605356,211343680,48
22_3,55.36819197996618,13.155157341605356,265463000,48
22_3,55.36819197996618,13.155157341605356,265031000,48
22_3,55.36819197996618,13.155157341605356,211833390,48
22_3,55.36819197996618,13.155157341605356,210510000,48
22_3,55.36819197996618,13.155157341605356,209867000,48
22_3,55.36819197996618,13.155157341605356,209183000,48
22_3,55.36819197996618,13.155157341605356,209869000,48
22_3,55.36819197996618,13.155157341605356,210425000,48
22_3,55.36819197996618,13.155157341605356,265874000,48
39_5,55.94201133483078,11.866120335600074,219016223,87
39_5,55.94201133483078,11.866120335600074,219018998,87
39_5,55.94201133483078,11.866120335600074,219027804,87
39_4,55.675757666675025,11.01837166667441,970026499,97
39_4,55.675757666675025,11.01837166667441,244678000,97
39_4,55.675757666675025,11.01837166667441,970026512,97
22_1,54.99649131090307,11.889006517537787,219024284,93
22_1,54.99649131090307,11.889006517537787,219014267,93
22_1,54.99649131090307,11.889006517537787,219000183,93
22_1,54.99649131090307,11.889006517537787,246389000,93
22_1,54.99649131090307,11.889006517537787,210290000,93
42_10,57.706812501011676,11.660364331826784,265581970,86
42_10,57.706812501011676,11.660364331826784,265038960,86
42_10,57.706812501011676,11.660364331826784,232005600,86
42_10,57.706812501011676,11.660364331826784,265527030,86
42_10,57.706812501011676,11.660364331826784,265663280,86
42_10,57.706812501011676,11.660364331826784,265579090,86
44_10,57.71923917788709,10.59415138887761,232009818,7
44_10,57.71923917788709,10.59415138887761,220333000,7
44_10,57.71923917788709,10.59415138887761,219011018,7
44_10,57.71923917788709,10.59415138887761,219022257,7
44_10,57.71923917788709,10.59415138887761,220012000,7
44_10,57.71923917788709,10.59415138887761,219007027,7
44_10,57.71923917788709,10.59415138887761,219031289,7
44_10,57.71923917788709,10.59415138887761,219002827,7
44_10,57.71923917788709,10.59415138887761,219006301,7
44_10,57.71923917788709,10.59415138887761,219007414,7
44_10,57.71923917788709,10.59415138887761,219015442,7
44_10,57.71923917788709,10.59415138887761,265019000,7
44_10,57.71923917788709,10.59415138887761,219005732,7
44_10,57.71923917788709,10.59415138887761,220343000,7
44_10,57.71923917788709,10.59415138887761,250512000,7
44_10,57.71923917788709,10.59415138887761,219013885,7
44_10,57.71923917788709,10.59415138887761,220339000,7
44_10,57.71923917788709,10.59415138887761,219001849,7
44_10,57.71923917788709,10.59415138887761,219801000,7
44_10,57.71923917788709,10.59415138887761,219030593,7
44_10,57.71923917788709,10.59415138887761,258637000,7
44_10,57.71923917788709,10.59415138887761,219026706,7
44_10,57.71923917788709,10.59415138887761,219001111,7
44_10,57.71923917788709,10.59415138887761,219027026,7
44_10,57.71923917788709,10.59415138887761,219019067,7
44_10,57.71923917788709,10.59415138887761,257102400,7
44_10,57.71923917788709,10.59415138887761,219022000,7
44_10,57.71923917788709,10.59415138887761,258572000,7
44_10,57.71923917788709,10.59415138887761,219022326,7
44_10,57.71923917788709,10.59415138887761,219028043,7
44_10,57.71923917788709,10.59415138887761,219017733,7
44_10,57.71923917788709,10.59415138887761,219032932,7
44_10,57.71923917788709,10.59415138887761,219013964,7
44_10,57.71923917788709,10.59415138887761,219031797,7
44_10,57.71923917788709,10.59415138887761,219000543,7
44_10,57.71923917788709,10.59415138887761,316100000,7
44_10,57.71923917788709,10.59415138887761,259859000,7
44_10,57.71923917788709,10.59415138887761,983161000,7
44_10,57.71923917788709,10.59415138887761,277354000,7
44_10,57.71923917788709,10.59415138887761,219017895,7
44_10,57.71923917788709,10.59415138887761,219005867,7
44_10,57.71923917788709,10.59415138887761,220307000,7
44_10,57.71923917788709,10.59415138887761,219023738,7
44_10,57.71923917788709,10.59415138887761,219007034,7
44_10,57.71923917788709,10.59415138887761,219012511,7
44_10,57.71923917788709,10.59415138887761,277029000,7
44_10,57.71923917788709,10.59415138887761,219001125,7
44_10,57.71923917788709,10.59415138887761,219948000,7
0_0,53.40286170082621,14.608345672944422,245392000,127
0_0,53.40286170082621,14.608345672944422,477347800,127
0_0,53.40286170082621,14.608345672944422,250002903,127
36_4,55.67390929303218,12.58321774766206,219026305,19
36_4,55.67390929303218,12.58321774766206,219026304,19
36_4,55.67390929303218,12.58321774766206,219026301,19
36_4,55.67390929303218,12.58321774766206,219000675,19
36_4,55.67390929303218,12.58321774766206,219017717,19
36_4,55.67390929303218,12.58321774766206,219007898,19
