latitude,longitude,port,mmsi,port_unique
55.059443,15.136765,32,261003244,32_1
55.062022,15.135468,32,220073000,32_1
55.062158,15.135552,32,219002761,32_1
55.062547,15.13471,32,219014244,32_1
55.063552,15.13568,32,220431000,32_1
55.063813,15.1351,32,261099060,32_1
55.067597,10.25176,33,219004145,33_1
55.076035,10.254448,33,219032635,33_1
55.085613,8.567898,34,219032609,34_1
55.085883,8.566985,34,219000617,34_1
55.08626,8.57082,34,209392000,34_1
55.086902,8.565608,34,245914000,34_1
55.08705,8.566367,34,246135000,34_1
55.087142,8.570833,34,209702000,34_1
55.088383,8.565717,34,219004043,34_1
55.08808,14.694392,35,244016000,35_1
55.092918,14.685452,35,219033720,35_1
55.093037,14.685212,35,219022260,35_1
55.093673,14.689507,35,219032956,35_1
55.094337,14.695545,35,219019015,35_1
55.094367,14.696017,35,219018488,35_1
55.095468,14.696368,35,219007671,35_1
55.095853,14.695022,35,219173000,35_1
55.092207,10.24082,36,219000733,36_1
55.092932,10.241468,36,219016906,36_1
55.093207,10.239712,36,219029904,36_1
55.093322,10.235688,36,219024281,36_1
55.094133,10.239138,36,219000188,36_1
55.094295,10.2396,36,219004145,36_1
55.094863,10.239867,36,219022614,36_1
55.09525,10.234103,36,219032635,36_1
55.095342,10.23646,36,219034214,36_1
55.095498,10.234432,36,218061300,36_1
55.097898,10.233843,36,219033042,36_1
55.09503,14.684378,37,219022260,37_1
55.095283,14.691082,37,219032956,37_1
55.095468,14.696368,37,219007671,37_1
55.095702,14.693705,37,219033720,37_1
55.095857,14.694985,37,219173000,37_1
55.096322,14.684998,37,219032845,37_1
55.09745,14.687478,37,210561000,37_1
55.098052,14.696235,37,219006514,37_1
55.098175,14.695803,37,219033941,37_1
55.098347,14.689618,37,219026000,37_1
55.098378,14.696082,37,219028158,37_1
55.098463,14.69655,37,219007641,37_1
55.098567,14.693723,37,219017081,37_1
55.099298,14.693052,37,219001468,37_1
55.099313,14.691522,37,219028133,37_1
55.099678,14.693122,37,219001058,37_1
57.594082,9.962377,0,219013178,0_2
57.594112,9.958675,0,219023274,0_2
57.594208,9.958187,0,219009135,0_2
57.594277,9.95914,0,219002774,0_2
57.5943,9.95935,0,219019010,0_2
57.594405,9.962405,0,220088000,0_2
57.594513,9.960302,0,219015362,0_2
57.699165,11.667355,1,265522210,1_2
57.699295,11.667212,1,265522220,1_2
57.699467,11.666992,1,265522240,1_2
57.706552,11.660023,1,265581970,1_2
